"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ALL\Processor(_Total)\% Processor Time","\\ALL\PhysicalDisk(_Total)\Avg. Disk Bytes/Write","\\ALL\PhysicalDisk(_Total)\Avg. Disk Bytes/Read","\\ALL\PhysicalDisk(_Total)\Avg. Disk Queue Length","\\ALL\Memory\% Committed Bytes In Use","\\ALL\Memory\Available MBytes"
"02/27/2025 08:00:57.081"," "," "," "," ","15.866566453097985","27071"
"02/27/2025 08:01:02.082","6.6192053673378997","7925.5510204081629","32768","0.018266668695616651","15.873861456260519","27073"
"02/27/2025 08:01:07.083","3.5215535653178809","6732.8000000000002","0","0.007512958253585735","15.876426272065478","27073"
"02/27/2025 08:01:12.102","5.9119226858863954","8003.9183673469388","6144","0.0092900361461586874","15.876668043405903","27071"
"02/27/2025 08:01:17.102","4.8756738705672431","5833.1428571428569","19057.777777777777","0.023866570947483901","15.887894368704384","27065"
"02/27/2025 08:01:22.099","4.7444178880861498","9437.405405405405","33792","0.0075816770787212485","15.913689699003866","27052"
"02/27/2025 08:01:27.083","6.1148944743200424","5465.9459459459458","32768","0.0071736621692831803","15.867039471833744","27051"
"02/27/2025 08:01:32.083","3.4442415230568568","9671.1111111111113","32768","0.012183409354358878","15.862193637495439","27051"
"02/27/2025 08:01:37.084","5.0171254122881592","7926.2784810126586","0","0.028214812869239676","15.860448734802299","27051"
"02/27/2025 08:01:42.085","8.9590755669557876","8967.757575757576","0","0.012210993941935857","15.864075211776438","27051"
"02/27/2025 08:01:47.086","10.556727282057155","8712.8275862068967","5376","0.034587910487538905","15.802456535352965","27063"
"02/27/2025 08:01:52.086","13.560003788566933","7742.3865546218485","0","0.044903777519606995","15.861909840223824","27061"
"02/27/2025 08:01:57.088","16.170766847017681","7779.4380165289258","0","0.047805036747662864","15.857316277887978","27062"
"02/27/2025 08:02:02.100","18.832905122292519","7995.6415770609319","0","0.050622684957043897","15.855045783299731","27062"
"02/27/2025 08:02:07.086","20.309698129767774","8054.1538461538457","57819.323782234955","0.30476091553202472","16.049351686623261","26978"
"02/27/2025 08:02:12.094","19.944428202794896","8742.0669144981421","0","0.050354284582090576","16.060294214650124","26975"
"02/27/2025 08:02:17.079","18.819209288316152","8752.7619047619046","0","0.036015896038838799","16.07093189751518","26969"
"02/27/2025 08:02:22.092","23.979038383080685","8355.1457627118652","0","0.055553830976390002","16.07621920203702","26967"
"02/27/2025 08:02:27.086","26.121379380940756","8722.1417322834641","0","0.048411346170281463","16.076103578339353","26967"
"02/27/2025 08:02:32.109","21.929941414934127","7886","13762.559999999999","0.050624791381873729","15.306669034833709","27196"
"02/27/2025 08:02:37.085","21.060045552318087","9872.134453781513","45056","0.046173208343319574","15.234948768102319","27212"
"02/27/2025 08:02:42.100","20.907406600261112","7786.2975778546715","40960","0.054277405791150486","15.293371937073156","27210"
"02/27/2025 08:02:47.102","20.770366396080242","8407.4749034749038","92842.666666666672","0.051361871609505928","15.235558435142869","27212"
"02/27/2025 08:02:52.103","19.866943711812056","8473.7028112449807","0","0.047239067124411512","15.292205152868341","27209"
"02/27/2025 08:02:57.101","20.463824131850849","8240.2318840579719","0","0.052368043717619342","15.294748944066175","27209"
"02/27/2025 08:03:02.091","21.794609493983351","9055.3305439330543","27895.091575091574","0.44392918005505361","15.303736323328627","27199"
"02/27/2025 08:03:07.076","20.50425564723729","8650.4186046511622","0","0.049333897341420817","15.303967570723959","27199"
"02/27/2025 08:03:12.076","22.776341609555484","8837.818181818182","0","0.049918863050749294","15.29679869192112","27200"
"02/27/2025 08:03:17.096","21.375771623842553","9191.8490566037744","0","0.040405233109029347","15.172163307474031","27224"
"02/27/2025 08:03:22.082","18.359798573183262","8493.4193548387102","0","0.047175788827495624","15.172342004993078","27224"
"02/27/2025 08:03:27.083","19.554337905021256","10000.440366972478","0","0.041909032107785064","15.171385466859533","27225"
"02/27/2025 08:03:32.087","19.738817394934028","8595.6204379562041","32768","0.052139203236234818","15.17562161087422","27226"
"02/27/2025 08:03:37.103","17.461728454912262","8934.0890688259115","0","0.046970543188488839","15.176525599131482","27226"
"02/27/2025 08:03:42.089","19.143506241238796","9218.1333333333332","0","0.046039271354673859","15.177986704553009","27226"
"02/27/2025 08:03:47.082","19.260123303436128","8108.9729729729734","12288","0.050530895357915238","15.17827052510769","27226"
"02/27/2025 08:03:52.090","19.044130798189752","8745.0464135021102","0","0.043720536930321754","15.188582338203812","27225"
"02/27/2025 08:03:57.082","19.284547985697852","8468.1574803149615","0","0.048168711514496164","15.188435189236987","27226"
"02/27/2025 08:04:02.097","19.536003342386831","8001.72972972973","0","0.055665249558143143","15.205358763971683","27223"
"02/27/2025 08:04:07.094","19.170087159273365","8942.522088353413","4096","0.047601297885378917","15.146693846943485","27233"
"02/27/2025 08:04:12.082","19.258751132300876","7979.1460674157306","0","0.050606047987804881","15.143887259798097","27234"
"02/27/2025 08:04:17.093","17.641058299855882","8355.326164874552","0","0.052727003933317675","15.142636377164775","27234"
"02/27/2025 08:04:22.077","17.667554667251785","8321.0239999999994","0","0.047489659477430619","15.143971358226604","27235"
"02/27/2025 08:04:27.082","17.430669083269422","8452.0959999999995","0","0.047600411998297634","15.145831907900476","27235"
"02/27/2025 08:04:32.092","18.67546774166312","8066.3791821561335","32768","0.050937024297483785","15.140754826166845","27236"
"02/27/2025 08:04:37.095","18.447113287021246","8256.4604316546756","0","0.052590289907759859","15.139661616445441","27236"
"02/27/2025 08:04:42.084","18.367593053872035","3688.1114206128132","65536","0.13887992167007407","15.143950333619479","27236"
"02/27/2025 08:04:47.087","20.757495866935784","4697.1574903969267","66433.753424657538","0.15317682231867072","15.156585214463201","27237"
"02/27/2025 08:04:52.091","18.579814046202259","7472.8988764044943","0","0.050123463663716797","15.167706416726043","27236"
"02/27/2025 08:04:57.094","18.374720146539126","7971.7433962264149","0","0.052883969661182639","15.170145108171306","27235"
"02/27/2025 08:05:02.089","16.909275089240548","9522.2857142857138","0","0.040069203455359963","15.17516961674559","27230"
