"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ALL\PhysicalDisk(_Total)\Avg. Disk sec/Read","\\ALL\PhysicalDisk(_Total)\Avg. Disk sec/Write","\\ALL\PhysicalDisk(_Total)\Avg. Disk Queue Length","\\ALL\Processor(_Total)\% Processor Time","\\ALL\Memory\% Committed Bytes In Use","\\ALL\Memory\Available MBytes"
"02/27/2025 04:24:05.078"," "," "," "," ","18.521929699583428","25144"
"02/27/2025 04:24:10.079","0","0.0009561619047619048","0.0080309376319864841","4.5800849992960746","18.534974525341525","25140"
"02/27/2025 04:24:15.079","0","0.00092472524271844663","0.019048163966356717","5.6308263527809821","18.536509205246464","25143"
"02/27/2025 04:24:20.080","0","0.00093086756756756764","0.0068877542296761594","5.8684727534236591","18.565069073477076","25140"
"02/27/2025 04:24:25.080","0","0.00094951315789473692","0.0072162533830031454","3.7896835186444711","18.550762864423628","25140"
"02/27/2025 04:24:30.080","0","0.00092824745762711859","0.010952577415251246","2.233192589542432","18.548198048618669","25140"
"02/27/2025 04:24:35.080","0","0.00095598048780487803","0.0078384422403947468","1.921541463248011","18.544676671397099","25140"
"02/27/2025 04:24:40.080","0","0.00095621956521739135","0.0087970292804052004","3.9864555736431662","18.545664758082868","25140"
"02/27/2025 04:24:45.080","0.0011014","0.00096717700000000005","0.019563606365418491","5.2354108293137465","18.539273743177596","25140"
"02/27/2025 04:24:50.081","0","0.00095519770992366409","0.025024310183543085","6.9991370244815272","18.538138507525005","25140"
"02/27/2025 04:24:55.081","0","0.00094655802469135791","0.030667962938144864","9.4546505945909747","18.541407589461052","25140"
"02/27/2025 04:25:00.081","0","0.00094863875598086126","0.039649888359042915","11.491545184840025","18.539473465303768","25140"
"02/27/2025 04:25:05.082","0","0.00094527095588235299","0.051420639981063172","14.964408853542421","18.537202970715519","25141"
"02/27/2025 04:25:10.082","0","0.00094804733096085414","0.053274951683814221","18.13315721221538","18.532809153788911","25141"
"02/27/2025 04:25:15.092","0","0.00095192296819787974","0.053773246551212316","16.959940104814976","18.53457508108918","25141"
"02/27/2025 04:25:20.076","0","0.00093790434782608698","0.056261827570172153","17.007260963961691","18.5360467104558","25141"
"02/27/2025 04:25:25.077","0","0.00095497184115523475","0.05290128090129554","17.818961073280416","18.549312259664134","25140"
"02/27/2025 04:25:30.077","0","0.00095205338078291823","0.053501920235107907","19.341184049389426","18.551130760123751","25140"
"02/27/2025 04:25:35.077","0.0005821","0.00094195573770491806","0.0575740284750434","18.166466269221015","18.547252011147151","25140"
"02/27/2025 04:25:40.084","0","0.00094985076335877866","0.049700122773997345","18.204528346621927","18.543793707746964","25140"
"02/27/2025 04:25:45.090","0","0.00096276184738955817","0.047887785415277759","18.340672415440086","18.542311577718312","25140"
"02/27/2025 04:25:50.079","0","0.00094683475177304965","0.053522256182410979","18.253033064291557","18.543625534173014","25140"
"02/27/2025 04:25:55.084","0","0.00095262121212121205","0.050250250210248537","18.983879646522706","18.545875004154137","25139"
"02/27/2025 04:26:00.084","0","0.00095148687943262403","0.053659785075921333","19.693598468132333","18.544077528301646","25140"
"02/27/2025 04:26:05.085","0","0.00094225311355311352","0.051435778196317415","24.23530913083637","18.646659683121054","25109"
"02/27/2025 04:26:10.097","0","0.00094611746031746026","0.059463848686755125","22.333320424063331","18.656414402335976","25104"
"02/27/2025 04:26:15.092","0","0.00094865072463768112","0.052422469674155217","21.359880519801489","18.660324699864798","25101"
"02/27/2025 04:26:20.078","0","0.00094838861209964407","0.053442592396846039","18.100935527923813","18.651652666426184","25103"
"02/27/2025 04:26:25.093","0","0.00094931731448763242","0.053571824179031328","18.796510368054143","18.647511121502035","25103"
"02/27/2025 04:26:30.078","0","0.00096199507042253531","0.054813680522128219","18.41533264519617","18.644630959873236","25105"
"02/27/2025 04:26:35.078","0","0.00095767191489361703","0.04500867073218754","26.409371714451868","18.737248172689519","25062"
"02/27/2025 04:26:40.084","0","0.0009595803858520901","0.059618419103784806","27.660006192191176","18.721260111481243","25086"
"02/27/2025 04:26:45.084","0.00069259333333333329","0.00096179855595667863","0.055358033195529101","32.152588904610809","18.795786965358023","24984"
"02/27/2025 04:26:50.084","0","0.00095863647058823539","0.048890069857242542","21.914685120812738","18.666494968036769","25021"
"02/27/2025 04:26:55.084","0","0.00096368489795918371","0.047216236881351147","19.968265705591993","18.667010035986781","25022"
"02/27/2025 04:27:00.098","0","0.00093891666666666678","0.057303993678996037","16.63567695345639","18.666894412289118","25023"
"02/27/2025 04:27:05.083","0","0.00095458511450381689","0.050175440595656623","17.714259954617241","18.665023338670149","25022"
"02/27/2025 04:27:10.084","0","0.00095399560439560433","0.052075216184265236","19.395035170058129","18.667577653813076","25022"
"02/27/2025 04:27:15.084","0","0.00095145575539568343","0.052898340575544114","18.871172670574964","18.664949764186737","25022"
"02/27/2025 04:27:20.084","0","0.0009568380952380953","0.060276339550873234","19.42002691800807","18.666789289253483","25023"
"02/27/2025 04:27:25.085","0.00051813333333333331","0.00096237017543859653","0.055163989683252229","20.745045518757689","18.658274928726787","25023"
"02/27/2025 04:27:30.094","0.0004796","0.00094016781250000001","0.060155741234966496","17.768810800517354","18.661144589693553","25023"
"02/27/2025 04:27:35.079","0","0.00095608060836501895","0.050436731938096516","18.120911342193004","18.66155453460793","25023"
"02/27/2025 04:27:40.080","0","0.00095902575757575751","0.050633418702703686","18.442559823588546","18.653765488102511","25024"
"02/27/2025 04:27:45.080","0.00060599999999999998","0.00095199428571428562","0.05343079940467118","17.698516819755039","18.651579091942772","25026"
